h,m,s,RA,d,arc m,arc s,DEC,F60,h,m,s,d,arc m,arc s,F100,T,"B(V,T)",M,
12,39,47.52,189.948,-41,25,52.7,-40.56869444,1.7703,12,39,47.52,-41,25,52.7,7.2343,24.2313323,1.04912E-15,3.92896E+26,0.039289616
12,39,47.19,189.946625,-41,27,26.2,-40.54272222,1.7299,12,39,47.19,-41,27,26.2,7.4376,23.92456148,9.71999E-16,4.35985E+26,0.043598492
12,39,46.22,189.9425833,-41,28,52.6,-40.51872222,1.7488,12,39,46.22,-41,28,52.6,7.6203,23.84492442,9.5262E-16,4.55782E+26,0.045578156
12,39,43.46,189.9310833,-41,13,52.6,-40.76872222,1.7577,12,39,43.46,-41,13,52.6,7.4054,24.0460997,1.00208E-15,4.21066E+26,0.042106609
12,39,43.13,189.9297083,-41,15,22.6,-40.74372222,1.7046,12,39,43.13,-41,15,22.6,7.2582,23.98243584,9.86247E-16,4.19322E+26,0.041932214
12,39,42.48,189.927,-41,16,49,-40.71972222,1.6873,12,39,42.48,-41,16,49,7.1466,24.01419707,9.94125E-16,4.09603E+26,0.04096028
12,39,42.15,189.925625,-41,18,22.6,-40.69372222,1.6768,12,39,42.15,-41,18,22.6,7.0843,24.02930391,9.97887E-16,4.04501E+26,0.04045014
12,39,41.49,189.922875,-41,19,56.1,-40.66775,1.6783,12,39,41.49,-41,19,56.1,7.1381,23.98924456,9.87932E-16,4.1168E+26,0.04116802
12,39,40.84,189.9201667,-41,21,29.7,-40.64175,1.7078,12,39,40.84,-41,21,29.7,7.2218,24.02386557,9.96532E-16,4.12913E+26,0.041291325
12,39,40.19,189.9174583,-41,22,56.1,-40.61775,1.7459,12,39,40.19,-41,22,56.1,7.206,24.17057203,1.03353E-15,3.97262E+26,0.03972615
12,39,39.85,189.9160417,-41,24,26.1,-40.59275,1.7573,12,39,39.85,-41,24,26.1,7.2388,24.18254785,1.03659E-15,3.97892E+26,0.039789172
12,39,38.88,189.912,-41,25,52.5,-40.56875,1.7537,12,39,38.88,-41,25,52.5,7.3034,24.11611748,1.01969E-15,4.08095E+26,0.040809494
12,39,38.86,189.9119167,-41,27,22.5,-40.54375,1.7396,12,39,38.86,-41,27,22.5,7.6139,23.81868951,9.46294E-16,4.58443E+26,0.045844345
12,39,35.49,189.897875,-41,13,48.8,-40.76977778,1.7386,12,39,35.49,-41,13,48.8,7.3596,24.01769197,9.94995E-16,4.21442E+26,0.042144216
12,39,35.15,189.8964583,-41,15,18.8,-40.74477778,1.6965,12,39,35.15,-41,15,18.8,7.1928,24.00815473,9.92623E-16,4.12875E+26,0.041287453
12,39,34.5,189.89375,-41,16,45.2,-40.72077778,1.6468,12,39,34.5,-41,16,45.2,6.9496,24.0361852,9.99604E-16,3.96129E+26,0.039612877
12,39,34.48,189.8936667,-41,18,22.4,-40.69377778,1.6424,12,39,34.48,-41,18,22.4,6.955,24.01542777,9.94431E-16,3.98499E+26,0.039849866
12,39,33.82,189.8909167,-41,19,52.4,-40.66877778,1.7154,12,39,33.82,-41,19,52.4,7.0508,24.19584776,1.03999E-15,3.86289E+26,0.038628901
12,39,33.49,189.8895417,-41,21,11.6,-40.64677778,1.7429,12,39,33.49,-41,21,11.6,7.1821,24.18032754,1.03602E-15,3.94991E+26,0.039499147
12,39,32.83,189.8867917,-41,22,45.2,-40.62077778,1.7052,12,39,32.83,-41,22,45.2,7.2296,24.00822628,9.92641E-16,4.14979E+26,0.041497946
12,39,31.53,189.881375,-41,24,18.7,-40.59480556,1.7028,12,39,31.53,-41,24,18.7,7.1795,24.04156843,1.00095E-15,4.08683E+26,0.040868347
12,39,31.2,189.88,-41,25,45.1,-40.57080556,1.7266,12,39,31.2,-41,25,45.1,7.4058,23.93873217,9.75475E-16,4.32574E+26,0.0432574
12,39,26.87,189.8619583,-41,13,37.8,-40.77283333,1.77,12,39,26.87,-41,13,37.8,7.3362,24.14505401,1.02703E-15,4.06999E+26,0.040699899
12,39,26.53,189.8605417,-41,15,4.2,-40.74883333,1.7091,12,39,26.53,-41,15,4.2,7.0673,24.15921093,1.03063E-15,3.9071E+26,0.039071035
12,39,26.84,189.8618333,-41,16,30.6,-40.72483333,1.6975,12,39,26.84,-41,16,30.6,6.9545,24.21575957,1.04511E-15,3.79149E+26,0.037914932
12,39,25.85,189.8577083,-41,18,11.4,-40.69683333,1.6751,12,39,25.85,-41,18,11.4,6.9258,24.16000676,1.03083E-15,3.82812E+26,0.038281231
12,39,25.2,189.855,-41,19,41.4,-40.67183333,1.7284,12,39,25.2,-41,19,41.4,7.0223,24.26679648,1.05829E-15,3.78078E+26,0.037807777
12,39,24.86,189.8535833,-41,21,7.7,-40.64786111,1.7355,12,39,24.86,-41,21,7.7,7.1201,24.20724834,1.04292E-15,3.88992E+26,0.038899169
12,39,24.52,189.8521667,-41,22,41.3,-40.62186111,1.7147,12,39,24.52,-41,22,41.3,7.2012,24.06535151,1.0069E-15,4.07495E+26,0.040749478
12,39,23.86,189.8494167,-41,24,7.7,-40.59786111,1.6828,12,39,23.86,-41,24,7.7,7.1901,23.96181609,9.81155E-16,4.17544E+26,0.041754373
12,39,23.51,189.8479583,-41,25,41.3,-40.57186111,1.7218,12,39,23.51,-41,25,41.3,7.2947,24.01257106,9.93721E-16,4.18261E+26,0.041826118
12,39,20.19,189.834125,-41,12,7.6,-40.79788889,1.7738,12,39,20.19,-41,12,7.6,7.4678,24.0504794,1.00318E-15,4.2415E+26,0.042415042
12,39,19.85,189.8327083,-41,13,30.4,-40.77488889,1.6722,12,39,19.85,-41,13,30.4,7.085,24.01219899,9.93628E-16,4.06275E+26,0.040627528
12,39,18.56,189.8273333,-41,15,0.4,-40.74988889,1.696,12,39,18.56,-41,15,0.4,7.013,24.15932379,1.03066E-15,3.87698E+26,0.03876976
12,39,18.85,189.8285417,-41,16,37.6,-40.72288889,1.7363,12,39,18.85,-41,16,37.6,6.9676,24.3429771,1.07816E-15,3.68216E+26,0.036821642
12,39,17.55,189.823125,-41,18,7.5,-40.69791667,1.7235,12,39,17.55,-41,18,7.5,7.0449,24.22972834,1.0487E-15,3.82761E+26,0.038276067
12,39,17.21,189.8217083,-41,19,30.3,-40.67491667,1.7666,12,39,17.21,-41,19,30.3,7.1844,24.26090583,1.05676E-15,3.87364E+26,0.038736403
12,39,16.55,189.8189583,-41,21,0.3,-40.64991667,1.767,12,39,16.55,-41,21,0.3,7.2076,24.24254086,1.05201E-15,3.9037E+26,0.039036982
12,39,17.16,189.8215,-41,22,30.3,-40.62491667,1.6713,12,39,17.16,-41,22,30.3,7.2041,23.90928423,9.68261E-16,4.23928E+26,0.042392761
12,39,16.5,189.81875,-41,24,3.9,-40.59891667,1.6926,12,39,16.5,-41,24,3.9,7.1368,24.04131014,1.00088E-15,4.06279E+26,0.040627902
12,39,15.51,189.814625,-41,25,33.9,-40.57391667,1.6928,12,39,15.51,-41,25,33.9,7.2802,23.92283397,9.71576E-16,4.26944E+26,0.042694416
12,39,15.17,189.8132083,-41,26,56.6,-40.55094444,1.7851,12,39,15.17,-41,26,56.6,7.5405,24.03038537,9.98157E-16,4.30433E+26,0.043043332
12,39,12.22,189.8009167,-41,11,52.9,-40.80197222,1.6791,12,39,12.22,-41,11,52.9,7.4418,23.74484421,9.28637E-16,4.56601E+26,0.045660054
12,39,11.56,189.7981667,-41,13,26.5,-40.77597222,1.6725,12,39,11.56,-41,13,26.5,7.2612,23.86662311,9.57874E-16,4.31921E+26,0.043192099
12,39,11.53,189.7980417,-41,15,3.7,-40.74897222,1.6492,12,39,11.53,-41,15,3.7,6.9571,24.03845842,1.00017E-15,3.96331E+26,0.039633124
12,39,10.55,189.7939583,-41,16,22.9,-40.72697222,1.6865,12,39,10.55,-41,16,22.9,6.9563,24.17453734,1.03454E-15,3.8312E+26,0.03831204
12,39,9.88,189.7911667,-41,18,7.3,-40.69797222,1.6953,12,39,9.88,-41,18,3.7,7.0262,24.14538891,1.02711E-15,3.89768E+26,0.038976845
12,39,9.86,189.7910833,-41,19,26.5,-40.67597222,1.7254,12,39,9.86,-41,19,26.5,7.1522,24.14432747,1.02684E-15,3.96862E+26,0.039686236
12,39,8.87,189.7869583,-41,20,56.4,-40.651,1.6638,12,39,8.87,-41,20,56.4,7.304,23.80098733,9.42041E-16,4.41769E+26,0.044176941
12,39,9.17,189.7882083,-41,22,22.8,-40.627,1.6364,12,39,9.17,-41,22,22.8,7.24,23.75502266,9.31058E-16,4.43064E+26,0.044306406
12,39,8.5,189.7854167,-41,23,56.4,-40.601,1.5936,12,39,8.5,-41,23,56.4,7.1738,23.653663,9.07144E-16,4.50586E+26,0.045058608
12,39,8.15,189.7839583,-41,25,26.4,-40.576,1.6663,12,39,8.15,-41,25,26.4,7.2598,23.84574901,9.5282E-16,4.34129E+26,0.043412868
12,39,7.17,189.779875,-41,26,49.2,-40.553,1.7527,12,39,7.17,-41,26,49.2,7.435,24.00498558,9.91836E-16,4.27116E+26,0.042711579
12,39,3.93,189.766375,-41,11,52.6,-40.80205556,1.6691,12,39,3.93,-41,11,52.6,7.4373,23.71335627,9.21176E-16,4.6002E+26,0.046002032
12,39,3.58,189.7649167,-41,13,19,-40.77805556,1.5813,12,39,3.58,-41,13,19,7.0317,23.72532408,9.24007E-16,4.336E+26,0.043360017
